DateTime,Open,High,Low,Close,Volume
2024-01-01 23:00:00,16828,3,16849,4,16828,3,16842,2,4200
2024-01-02 00:00:00,16842,6,16842,9,16831,1,16839,4,3076
2024-01-02 01:00:00,16839,3,16850,9,16823,5,16826,8,6692
2024-01-02 02:00:00,16826,9,16831,3,16813,2,16820,8,4620
2024-01-02 03:00:00,16820,7,16825,3,16814,6,16819,7,3006
2024-01-02 04:00:00,16819,8,16825,4,16815,8,16820,2,2346
2024-01-02 05:00:00,16820,6,16831,9,16819,2,16830,5,3963
2024-01-02 06:00:00,16830,4,16832,2,16815,7,16817,1,3728
2024-01-02 07:00:00,16817,2,16835,7,16816,7,16829,6,5604
2024-01-02 08:00:00,16829,4,16849,16828,6,16839,9,9820
2024-01-02 09:00:00,16839,7,16840,9,16800,5,16807,4,8554
2024-01-02 10:00:00,16807,5,16810,16780,8,16783,3,8105
2024-01-02 11:00:00,16782,7,16789,1,16658,1,16687,3,13920
2024-01-02 12:00:00,16688,3,16690,16629,7,16635,6,12488
2024-01-02 13:00:00,16635,2,16669,16630,1,16666,4,12800
2024-01-02 14:00:00,16666,7,16690,9,16538,16581,7,17202
2024-01-02 15:00:00,16579,7,16605,9,16509,8,16535,3,19816
2024-01-02 16:00:00,16535,5,16609,7,16533,7,16602,6,18715
2024-01-02 17:00:00,16603,2,16611,6,16542,5,16544,7,18000
